id	person_id	membership_type	start_date	end_date	status	notes	created_at	updated_at	mosque_id
1142	1142	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1143	1143	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1144	1144	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1145	1145	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1146	1146	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1147	1147	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1148	1148	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1149	1149	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1150	1150	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1151	1151	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1152	1152	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1153	1153	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:20	2026-02-22 18:42:20	1
1154	1154	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1155	1155	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1156	1156	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1157	1157	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1158	1158	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1159	1159	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1160	1160	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1161	1161	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1162	1162	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1163	1163	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1164	1164	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1165	1165	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1166	1166	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1167	1167	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1168	1168	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1169	1169	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1170	1170	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1171	1171	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1172	1172	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1173	1173	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1174	1174	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1175	1175	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1176	1176	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1177	1177	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1178	1178	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1179	1179	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1180	1180	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1181	1181	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1182	1182	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1183	1183	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1184	1184	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1185	1185	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1186	1186	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1187	1187	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1188	1188	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1189	1189	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1190	1190	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1191	1191	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1192	1192	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1193	1193	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1194	1194	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1195	1195	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1196	1196	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:21	2026-02-22 18:42:21	1
1197	1197	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1198	1198	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1199	1199	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1200	1200	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1201	1201	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1202	1202	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1203	1203	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1204	1204	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1205	1205	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1206	1206	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1207	1207	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1208	1208	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1209	1209	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1210	1210	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1211	1211	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1212	1212	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1213	1213	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1214	1214	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1215	1215	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1216	1216	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1217	1217	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1218	1218	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1219	1219	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1220	1220	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1221	1221	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1222	1222	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1223	1223	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1224	1224	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1225	1225	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1226	1226	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1227	1227	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1228	1228	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1229	1229	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1230	1230	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1231	1231	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1232	1232	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1233	1233	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1234	1234	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1235	1235	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1236	1236	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1237	1237	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1238	1238	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:22	2026-02-22 18:42:22	1
1239	1239	FULL	2026-02-22	NULL	ACTIVE	NULL	2026-02-22 18:42:23	2026-02-22 18:42:23	1
